time,coin,dir,px,sz,ntl,fee,closedPnl
04.01.2024 - 11:24:38,OP,Open Long,3.4326,7.3,25.057979999999997,-0.000501,0.000501
04.01.2024 - 12:20:42,OP,Close Long,3.3885,7.3,24.73605,0.005936,-0.327866
04.01.2024 - 13:41:45,OP,Open Long,3.4413,3.5,12.044550000000001,0.00289,-0.00289
04.01.2024 - 13:50:14,OP,Close Long,3.4548,3.5,12.091800000000001,0.002901,0.044349
04.01.2024 - 14:06:13,OP,Open Long,3.443,3.5,12.0505,-0.000241,0.000241
04.01.2024 - 17:34:18,OP,Close Long,3.6202,3.5,12.6707,0.00304,0.6171599999999999
05.01.2024 - 14:25:05,ETH,Open Short,2250.4,0.0222,49.95888000000001,-0.000999,0.000999
05.01.2024 - 16:26:00,ETH,Close Short,2238,0.0222,49.683600000000006,0.011923,0.263357
08.01.2024 - 11:54:59,OP,Open Long,3.0632,4.1,12.55912,-0.000251,0.000251
10.01.2024 - 18:37:25,OP,Close Long,3.688,4.1,15.1208,0.003628,2.558052
15.01.2024 - 15:34:54,BTC,Open Long,42709,0.00234,99.93906,-0.001998,0.001998
15.01.2024 - 16:08:53,BTC,Close Long,42569,0.00234,99.61146000000001,0.023905,-0.351505
16.01.2024 - 13:26:48,BTC,Open Long,42816,0.00234,100.18944,-0.002003,0.002003
16.01.2024 - 16:16:31,BTC,Close Long,42833,0.00234,100.22922,0.024054,0.015726000000000004
18.01.2024 - 15:48:48,BTC,Open Short,42619,0.00117,49.86423,-0.000997,0.000997
18.01.2024 - 20:12:24,BTC,Close Short,41412,0.00059,24.43308,-0.000488,0.7126180000000001
18.01.2024 - 20:14:04,BTC,Close Short,41568,0.00058,24.10944,0.005785,0.603795
22.01.2024 - 03:20:31,BTC,Open Long,41312,0.00061,25.200319999999998,-0.000503,0.000503
22.01.2024 - 13:47:02,BTC,Close Long,40739.24897959,0.00245,99.81115999999548,0.023952,-0.372872
22.01.2024 - 14:49:12,BTC,Close Short,40905,0.00184,75.26520000000001,0.018063,-0.323503
22.01.2024 - 15:43:49,BTC,Open Long,40903,0.00244,99.80332,-0.001996,0.001996
22.01.2024 - 16:18:56,BTC,Close Long,40673,0.00244,99.24212,0.023817,-0.585017
22.01.2024 - 18:10:00,BTC,Open Long,40670,0.00123,50.0241,-0.001,0.001
22.01.2024 - 20:49:22,BTC,Close Long,40288,0.00123,49.55424,0.011892,-0.481752
23.01.2024 - 12:35:07,BTC,Open Long,39036,0.00256,99.93216000000001,-0.001998,0.001998
23.01.2024 - 13:24:12,BTC,Close Long,38825,0.00256,99.39200000000001,0.023854,-0.564014
23.01.2024 - 15:29:34,BTC,Open Long,38942,0.00257,100.08094,-0.002001,0.002001
23.01.2024 - 16:03:49,BTC,Close Long,38770,0.00257,99.63889999999999,0.023912,-0.465952
24.01.2024 - 11:51:19,ETH,Open Short,2235.3,0.0447,99.91791,0.023979,-0.023979
24.01.2024 - 12:33:05,ETH,Close Short,2246.1,0.0447,100.40066999999999,0.024096,-0.506856
24.01.2024 - 15:27:37,BTC,Open Short,40130,0.00249,99.9237,-0.001998,0.001998
24.01.2024 - 22:52:15,BTC,Close Short,39714,0.00249,98.88786,0.023732,1.012108
25.01.2024 - 13:05:15,ETH,Open Long,2235,0.0224,50.064,-0.001001,0.001001
25.01.2024 - 14:28:39,ETH,Close Long,2216.32232143,0.0224,49.645620000032004,0.011913,-0.430293
25.01.2024 - 20:24:00,ETH,Open Short,2223,0.0117,26.0091,-0.00052,0.00052
25.01.2024 - 20:24:12,ETH,Open Short,2223,0.0108,24.0084,-0.00048,0.00048
26.01.2024 - 13:03:19,ETH,Close Short,2244.5,0.0225,50.50125,0.01212,-0.49587000000000003
27.01.2024 - 17:52:43,BTC,Open Long,41818,0.00239,99.94502000000001,-0.001998,0.001998
27.01.2024 - 22:38:31,BTC,Close Long,42062,0.00239,100.52818,0.024126,0.559034
28.01.2024 - 12:15:07,ETH,Open Long,2293.5,0.0349,80.04315,-0.0016,0.0016
28.01.2024 - 14:05:23,ETH,Close Long,2278.6,0.0349,79.52314,0.019084,-0.539094
28.01.2024 - 16:17:41,ETH,Open Short,2286.2,0.0219,50.06777999999999,-0.001001,0.001001
28.01.2024 - 16:31:20,ETH,Close Short,2285.1,0.0219,50.04369,0.012009,0.012081
29.01.2024 - 17:46:30,BTC,Open Short,42172,0.00237,99.94764,-0.001998,0.001998
29.01.2024 - 17:50:39,BTC,Close Short,42374,0.00237,100.42638000000001,0.024101,-0.502841
30.01.2024 - 16:34:11,ETH,Open Short,2314.7,0.0259,59.95072999999999,-0.001199,0.001199
30.01.2024 - 17:45:02,ETH,Close Short,2332,0.0259,60.3988,0.014495,-0.462565
01.02.2024 - 10:27:00,BTC,Open Short,42169,0.00356,150.12163999999999,-0.003002,0.003002
01.02.2024 - 12:25:24,BTC,Close Short,42288,0.00356,150.54528,0.03613,-0.45977
02.02.2024 - 12:11:01,ETH,Open Long,2304.4,0.0651,150.01644000000002,-0.003,0.003
02.02.2024 - 15:45:57,ETH,Close Long,2296.1,0.0651,149.47611,0.035874,-0.5762039999999999
07.02.2024 - 15:39:26,ETH,Open Long,2366.8,0.0211,49.93948,-0.000998,0.000998
07.02.2024 - 16:24:36,ETH,Close Long,2371.1,0.0211,50.03021,0.012006,0.078724
08.02.2024 - 16:45:27,ETH,Open Short,2426.7,0.0412,99.98003999999999,-0.001999,0.001999
08.02.2024 - 16:55:51,ETH,Close Short,2435.9,0.0412,100.35908,0.024085,-0.403125
12.02.2024 - 14:51:12,BTC,Open Short,47892.35885167,0.00209,100.09502999999029,0.024019,-0.024019
12.02.2024 - 14:57:20,BTC,Close Short,48046,0.00209,100.41614,0.024099,-0.345332
15.02.2024 - 20:06:33,ETH,Open Short,2820,0.0177,49.914,-0.000998,0.000998
15.02.2024 - 21:22:34,ETH,Close Short,2814.7,0.0177,49.82019,0.011956,0.08185400000000001
18.02.2024 - 13:17:16,BTC,Open Long,51748,0.00097,50.19556,-0.001003,0.001003
19.02.2024 - 07:12:24,BTC,Close Long,52054,0.00097,50.492380000000004,0.012118,0.28470199999999996
20.02.2024 - 10:11:43,BTC,Open Long,51805,0.00097,50.25085,-0.001005,0.001005
20.02.2024 - 15:37:01,BTC,Close Long,52848,0.00097,51.26256,0.012302,0.9994080000000001
21.02.2024 - 17:44:20,BTC,Open Long,51159,0.00098,50.135819999999995,-0.001002,0.001002
21.02.2024 - 21:00:25,BTC,Close Long,50761,0.00098,49.745779999999996,0.011938,-0.401978
26.02.2024 - 15:48:34,BTC,Open Long,51290,0.00097,49.7513,-0.000995,0.000995
26.02.2024 - 17:12:11,BTC,Close Long,51960,0.00097,50.4012,0.012096,0.637804
28.02.2024 - 13:56:31,BTC,Open Long,58967,0.00085,50.12195,0.012028,-0.012028
28.02.2024 - 14:54:46,BTC,Close Long,59499,0.00085,50.574149999999996,0.012137,0.440063
29.02.2024 - 09:21:19,BTC,Open Long,62769,0.0004,25.1076,-0.000502,0.000502
29.02.2024 - 13:38:10,BTC,Close Long,63254,0.0004,25.3016,0.006072,0.187928
09.04.2024 - 12:18:05,BTC,Open Short,70700,0.01691,1195.537,0.401699,-0.401699
09.04.2024 - 12:18:14,BTC,Close Short,70691,0.01691,1195.38481,0.401648,-0.249458
09.04.2024 - 12:18:59,BTC,Open Long,70708,0.01691,1195.67228,0.401745,-0.401745
09.04.2024 - 12:19:05,BTC,Close Long,70707,0.01691,1195.6553700000002,0.401739,-0.418649
09.04.2024 - 12:19:34,BTC,Open Short,70681.21893491,0.0169,1194.5125999999789,0.401354,-0.401354
09.04.2024 - 12:19:52,BTC,Close Short,70680,0.0169,1194.492,0.401349,-0.381069
09.04.2024 - 12:20:51,BTC,Open Short,70641,0.03379,2386.95939,0.802017,-0.802017
09.04.2024 - 12:21:02,BTC,Close Short,70640,0.03379,2386.9256,0.802006,-0.768216
09.04.2024 - 12:24:52,BTC,Open Long,70708,0.01686,1192.13688,0.400557,-0.400557
09.04.2024 - 12:24:57,BTC,Close Long,70707,0.01686,1192.12002,0.400552,-0.417412
09.04.2024 - 12:25:23,BTC,Open Long,70711,0.01685,1191.48035,0.400337,-0.400337
09.04.2024 - 12:25:27,BTC,Close Long,70710,0.01685,1191.4635,0.400331,-0.41718099999999997
09.04.2024 - 12:27:12,BTC,Open Short,70653,0.02084,1472.40852,0.494728,-0.494728
09.04.2024 - 12:27:21,BTC,Close Short,70661,0.02084,1472.5752400000001,0.494783,-0.662172
09.04.2024 - 12:28:19,BTC,Open Long,70690,0.02081,1471.0589,0.494275,-0.494275
09.04.2024 - 12:28:24,BTC,Close Long,70689,0.02081,1471.03809,0.494268,-0.515078
09.04.2024 - 12:28:50,BTC,Open Short,70681,0.02081,1470.87161,0.494212,-0.494212
09.04.2024 - 12:28:54,BTC,Close Short,70663,0.02081,1470.49703,0.494086,-0.119506
14.04.2024 - 07:31:39,BTC,Open Short,64009,0.02273,1454.92457,0.488854,-0.488854
14.04.2024 - 07:31:51,BTC,Close Short,64045,0.02273,1455.74285,0.489128,-1.3074080000000001
14.04.2024 - 07:32:22,BTC,Open Short,63983,0.02272,1453.69376,0.48844,-0.48844
14.04.2024 - 07:32:29,BTC,Close Short,64002,0.02272,1454.12544,0.488585,-0.920265
14.04.2024 - 07:33:09,BTC,Open Long,63994.73071838,0.02269,1452.040440000042,0.487883,-0.487883
14.04.2024 - 07:33:13,BTC,Close Long,63987.17628911,0.02269,1451.8690299999057,0.487827,-0.65854
14.04.2024 - 07:33:30,BTC,Open Short,63956.34391534,0.02268,1450.5298799999111,0.487375,-0.487375
14.04.2024 - 07:33:36,BTC,Close Short,63911,0.02268,1449.50148,0.487032,0.540372
14.04.2024 - 07:35:15,BTC,Open Short,63871.24174373,0.02271,1450.5159000001083,0.487372,-0.487372
14.04.2024 - 07:35:18,BTC,Close Short,63876,0.02271,1450.6239600000001,0.487409,-0.596417
14.04.2024 - 07:35:41,BTC,Open Long,63973,0.02267,1450.26791,0.487289,-0.487289
14.04.2024 - 07:35:51,BTC,Close Long,64009,0.02267,1451.08403,0.487563,0.32855699999999993
14.04.2024 - 07:38:13,BTC,Open Short,64017,0.02264,1449.34488,0.486979,-0.486979
14.04.2024 - 07:38:20,BTC,Close Short,63993,0.02264,1448.80152,0.486796,0.05656399999999995
14.04.2024 - 07:39:15,BTC,Open Short,63963.30905077,0.02265,1448.7689499999406,0.486784,-0.486784
14.04.2024 - 07:39:23,BTC,Close Short,63973,0.02265,1448.98845,0.486859,-0.706564
14.04.2024 - 07:39:45,BTC,Open Short,63942,0.02263,1447.00746,0.486193,-0.486193
14.04.2024 - 07:40:05,BTC,Close Short,63926,0.02263,1446.6453800000002,0.486072,-0.12399199999999999
14.04.2024 - 07:42:26,BTC,Open Short,63960,0.02261,1446.1356,0.485901,-0.485901
14.04.2024 - 07:42:40,BTC,Close Short,63930,0.02261,1445.4573,0.485673,0.192627
14.04.2024 - 07:43:12,BTC,Open Short,63936,0.02264,1447.51104,0.486362,-0.486362
14.04.2024 - 07:43:47,BTC,Close Short,63988.58038869,0.02264,1448.7014599999418,0.486762,-1.677182
14.04.2024 - 07:46:14,BTC,Open Short,63916.79646018,0.0226,1444.5196000000678,0.485357,-0.485357
14.04.2024 - 07:46:38,BTC,Close Short,63941,0.0226,1445.0665999999999,0.485542,-1.034722
14.04.2024 - 07:48:58,BTC,Open Short,63982,0.02256,1443.43392,0.484992,-0.484992
